size,density,noise_level,negative_values,seed,algorithm,start_node,end_node,result_status,path,distance,execution_time_seconds,path_length
20,1.0,0.0,True,100,bellman_ford,4,14,success,4 -> 14,304.0,0.002097,2
20,1.0,0.1,False,101,floyd_warshall,18,6,success,18 -> 10 -> 6,926.0,0.005492,3
20,1.0,0.1,True,102,bellman_ford,4,11,negative_cycle,,-inf,0.002393,0
20,1.0,0.5,False,103,floyd_warshall,14,6,success,14 -> 16 -> 6,1106.0,0.002997,3
20,1.0,0.5,True,104,bellman_ford,0,6,negative_cycle,,-inf,0.004628,0
20,1.0,0.8,False,105,floyd_warshall,18,11,success,18 -> 15 -> 11,629.0,0.007242,3
20,1.0,0.8,True,106,bellman_ford,15,0,negative_cycle,,-inf,0.004457,0
50,0.2,0.0,False,107,dijkstra,15,39,success,15 -> 22 -> 39,819.0,0.001821,3
50,0.2,0.0,True,108,bellman_ford,8,45,success,8 -> 38 -> 45,482.0,0.021779,3
50,0.2,0.1,False,109,dijkstra,17,14,success,17 -> 26 -> 14,883.0,0.000248,3
50,0.2,0.1,True,110,bellman_ford,24,38,negative_cycle,,-inf,0.014505,0
50,0.2,0.5,False,111,dijkstra,13,20,success,13 -> 32 -> 20,1115.0,0.000215,3
50,0.2,0.5,True,112,bellman_ford,30,42,negative_cycle,,-inf,0.014878,0
50,0.2,0.8,False,113,dijkstra,1,41,success,1 -> 26 -> 24 -> 13 -> 41,1286.0,0.00026,5
50,0.2,0.8,True,114,bellman_ford,15,36,negative_cycle,,-inf,0.015766,0
50,0.5,0.0,False,115,dijkstra,18,12,success,18 -> 12,698.0,0.000341,2
50,0.5,0.0,True,116,bellman_ford,47,38,success,47 -> 10 -> 38,720.0,0.02062,3
50,0.5,0.1,False,117,dijkstra,15,11,success,15 -> 24 -> 11,887.0,0.000306,3
50,0.5,0.1,True,118,bellman_ford,45,40,negative_cycle,,-inf,0.02064,0
50,0.5,0.5,False,119,dijkstra,18,11,success,18 -> 42 -> 11,825.0,0.000202,3
50,0.5,0.5,True,120,bellman_ford,32,15,negative_cycle,,-inf,0.021428,0
50,0.5,0.8,False,121,dijkstra,5,13,success,5 -> 48 -> 38 -> 13,963.0,0.000268,4
50,0.5,0.8,True,122,bellman_ford,32,13,negative_cycle,,-inf,0.021924,0
50,0.8,0.0,False,123,floyd_warshall,3,17,success,3 -> 17,193.0,0.042985,2
50,0.8,0.0,True,124,bellman_ford,17,35,success,17 -> 19 -> 35,396.0,0.025328,3
50,0.8,0.1,False,125,floyd_warshall,15,14,success,15 -> 14,260.0,0.042587,2
50,0.8,0.1,True,126,bellman_ford,36,3,negative_cycle,,-inf,0.025685,0
50,0.8,0.5,False,127,floyd_warshall,2,39,success,2 -> 39,564.0,0.043183,2
50,0.8,0.5,True,128,bellman_ford,15,25,negative_cycle,,-inf,0.026883,0
50,0.8,0.8,False,129,floyd_warshall,37,33,success,37 -> 33,826.0,0.042536,2
50,0.8,0.8,True,130,bellman_ford,33,27,negative_cycle,,-inf,0.028027,0
50,1.0,0.0,False,131,floyd_warshall,20,23,success,20 -> 23,660.0,0.04263,2
50,1.0,0.0,True,132,bellman_ford,26,9,success,26 -> 9,1055.0,0.028967,2
50,1.0,0.1,False,133,floyd_warshall,31,22,success,31 -> 36 -> 22,523.0,0.042136,3
50,1.0,0.1,True,134,bellman_ford,30,33,negative_cycle,,-inf,0.028517,0
50,1.0,0.5,False,135,floyd_warshall,42,23,success,42 -> 10 -> 23,794.0,0.042441,3
50,1.0,0.5,True,136,bellman_ford,36,27,negative_cycle,,-inf,0.030249,0
50,1.0,0.8,False,137,floyd_warshall,4,11,success,4 -> 33 -> 11,607.0,0.04157,3
50,1.0,0.8,True,138,bellman_ford,12,24,negative_cycle,,-inf,0.032104,0
100,0.2,0.0,False,139,dijkstra,0,88,success,0 -> 56 -> 25 -> 88,641.0,0.000919,4
100,0.2,0.0,True,140,bellman_ford,98,12,success,98 -> 88 -> 12,602.0,0.1068,3
100,0.2,0.1,False,141,dijkstra,66,99,success,66 -> 81 -> 7 -> 99,831.0,0.00105,4
100,0.2,0.1,True,142,bellman_ford,74,88,success,74 -> 60 -> 88,501.0,0.108818,3
100,0.2,0.5,False,143,dijkstra,23,5,success,23 -> 67 -> 10 -> 46 -> 5,1083.0,0.001051,5
100,0.2,0.5,True,144,bellman_ford,57,4,negative_cycle,,-inf,0.109186,0
100,0.2,0.8,False,145,dijkstra,96,54,success,96 -> 94 -> 54,1736.0,0.000925,3
100,0.2,0.8,True,146,bellman_ford,17,79,negative_cycle,,-inf,0.11642,0
100,0.5,0.0,False,147,dijkstra,77,82,success,77 -> 53 -> 82,819.0,0.001302,3
100,0.5,0.0,True,148,bellman_ford,51,89,success,51 -> 89,323.0,0.156375,2
100,0.5,0.1,False,149,dijkstra,9,12,success,9 -> 1 -> 12,1066.0,0.001381,3
100,0.5,0.1,True,150,bellman_ford,41,51,negative_cycle,,-inf,0.154572,0
100,0.5,0.5,False,151,dijkstra,90,52,success,90 -> 96 -> 52,783.0,0.001154,3
100,0.5,0.5,True,152,bellman_ford,96,50,negative_cycle,,-inf,0.164996,0
100,0.5,0.8,False,153,dijkstra,62,9,success,62 -> 34 -> 9,1108.0,0.001339,3
100,0.5,0.8,True,154,bellman_ford,26,48,negative_cycle,,-inf,0.180707,0
100,0.8,0.0,False,155,floyd_warshall,74,64,success,74 -> 90 -> 64,423.0,0.341528,3
100,0.8,0.0,True,156,bellman_ford,62,53,success,62 -> 53,184.0,0.204224,2
100,0.8,0.1,False,157,floyd_warshall,78,62,success,78 -> 62,545.0,0.363813,2
100,0.8,0.1,True,158,bellman_ford,87,28,negative_cycle,,-inf,0.210205,0
100,0.8,0.5,False,159,floyd_warshall,50,21,success,50 -> 21,560.0,0.348397,2
100,0.8,0.5,True,160,bellman_ford,15,64,negative_cycle,,-inf,0.211601,0
100,0.8,0.8,False,161,floyd_warshall,66,26,success,66 -> 41 -> 26,978.0,0.335255,3
100,0.8,0.8,True,162,bellman_ford,6,88,negative_cycle,,-inf,0.242031,0
100,1.0,0.0,False,163,floyd_warshall,69,79,success,69 -> 79,533.0,0.354317,2
